container,index,name,offset,size_bytes,range_valid,classification
main.13.com.ea.gp.fifaworld.obb,97,data\ant\pc\Niscbac\2910168b-136e-437e-84d0-bcfb3337b133.cbac,9144512,391148,True,
main.13.com.ea.gp.fifaworld.obb,98,data\ant\pc\Niscbac\297854cf-ff4a-465a-866a-dc65e68807a3.cbac,9535680,26676,True,
main.13.com.ea.gp.fifaworld.obb,99,data\ant\pc\Niscbac\299c150a-b777-4046-9357-bd10190a6030.cbac,9562368,333534,True,
main.13.com.ea.gp.fifaworld.obb,100,data\ant\pc\Niscbac\2a177098-11d6-4f9d-a8ef-d7b63760aed2.cbac,9895936,712,True,
main.13.com.ea.gp.fifaworld.obb,101,data\ant\pc\Niscbac\2ab2699f-690c-4b83-975a-b1a83c01c252.cbac,9896704,5951,True,
main.13.com.ea.gp.fifaworld.obb,102,data\ant\pc\Niscbac\2ae6f56b-0856-4d6c-8091-91bd5e16adc3.cbac,9902656,448814,True,
main.13.com.ea.gp.fifaworld.obb,103,data\ant\pc\Niscbac\2b1e9d1e-8cb3-43b5-833a-603b4dfcd5b2.cbac,10351488,98602,True,
main.13.com.ea.gp.fifaworld.obb,104,data\ant\pc\Niscbac\2b37441c-7425-42ea-81c6-4bd4410a9ab3.cbac,10450112,141924,True,
main.13.com.ea.gp.fifaworld.obb,105,data\ant\pc\Niscbac\2cdef7b1-227d-4c8d-b281-ce4fbe609e71.cbac,10592064,51855,True,
main.13.com.ea.gp.fifaworld.obb,106,data\ant\pc\Niscbac\2ebac293-b236-4f10-addd-676a8e433bfc.cbac,10643968,336719,True,
main.13.com.ea.gp.fifaworld.obb,107,data\ant\pc\Niscbac\2efd4c90-a8ad-4b04-b38b-3cec614eed32.cbac,10980736,377446,True,
main.13.com.ea.gp.fifaworld.obb,108,data\ant\pc\Niscbac\2f0e56b9-4bab-4161-af22-32c0f9eb4242.cbac,11358208,65070,True,
main.13.com.ea.gp.fifaworld.obb,109,data\ant\pc\Niscbac\2f73ae50-ee84-46a0-b3ac-eccf95c911cd.cbac,11423296,413876,True,
main.13.com.ea.gp.fifaworld.obb,110,data\ant\pc\Niscbac\2f7ee188-3c87-43e0-bb90-b98e26921941.cbac,11837184,25739,True,
